,S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
0,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
1,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
2,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
3,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
4,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
5,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
6,7.,St Bk of India,816.05,9.51,728293.62,1.68,20565.03,22.88,121044.68,12.71,6.16
7,8.,ITC,474.65,28.90,593772.55,2.90,5054.43,1.95,20735.87,16.66,37.47
8,9.,Hind. Unilever,2445.25,55.90,574533.80,1.72,2595.00,-2.14,15926.00,1.94,27.24
9,10.,Life Insurance,889.50,13.57,562608.55,1.12,7722.74,-3.83,231132.12,13.84,72.95
10,11.,HCL Technologies,1898.40,30.61,515162.18,2.74,4237.00,10.52,28862.00,8.21,29.60
11,12.,Larsen & Toubro,3603.50,36.80,495479.41,0.78,4098.84,5.36,61554.58,20.64,13.44
12,13.,Sun Pharma.Inds.,1795.30,38.44,430752.61,0.75,3037.33,27.86,13291.39,9.01,17.32
13,14.,Bajaj Finance,6683.95,26.91,413734.15,0.54,4013.74,12.64,17090.27,27.71,11.93
14,15.,M & M,3012.95,31.58,374669.02,0.70,3361.06,35.05,37923.74,10.13,13.58
15,16.,NTPC,365.45,16.05,354364.66,2.12,5380.25,14.30,44696.30,-0.64,10.47
16,17.,Axis Bank,1142.40,12.66,353493.63,0.09,7435.66,19.30,31601.05,15.26,7.06
17,18.,Kotak Mah. Bank,1761.45,18.22,350205.17,0.11,5044.05,13.07,16426.97,19.76,7.86
18,19.,Maruti Suzuki,11063.60,24.81,347842.43,1.13,3102.50,-18.06,37449.20,0.29,21.82
19,20.,UltraTech Cem.,11375.30,49.95,328402.70,0.62,825.18,-35.95,15634.73,-2.36,15.12
20,21.,Power Grid Corpn,336.95,19.95,313383.85,3.34,3793.02,0.31,11277.76,0.09,13.21
21,22.,O N G C,245.60,7.42,308971.66,4.99,9878.44,-27.59,158329.10,7.26,18.43
22,23.,Wipro,571.65,25.47,299073.25,0.17,3226.60,21.26,22301.60,-0.95,16.93
23,24.,Titan Company,3308.70,90.58,293741.81,0.33,704.00,-23.06,14534.00,16.00,22.70
24,25.,Tata Motors,791.00,8.70,291166.45,0.38,3450.00,-12.93,101450.00,-3.50,20.11
25,1.,Reliance Industr,1265.40,25.21,1712386.00,0.40,19323.00,-4.78,231535.00,-0.15,9.61
26,2.,TCS,4244.60,31.89,1535733.43,1.30,11955.00,5.00,64259.00,7.65,64.28
27,3.,HDFC Bank,1745.60,19.28,1334150.64,1.12,18627.44,6.03,83001.72,10.61,7.67
28,4.,Bharti Airtel,1569.30,66.21,938965.67,0.51,4153.40,119.37,41473.30,11.96,13.13
29,5.,ICICI Bank,1278.05,19.04,901760.38,0.78,13905.99,18.83,46325.78,18.97,7.60
30,6.,Infosys,1902.25,29.31,789861.17,2.00,6516.00,4.73,40986.00,5.11,39.99
